symbol,name,last_sale,market_cap,ipo_year,sector,sub_industry,nasdaq_url
BREW,"Craft Brew Alliance, Inc.",16.65,320640000.0,,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/brew
CRAY,Cray Inc,19.725,803750000.0,,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/cray
CACC,Credit Acceptance Corporation,190.07,3860000000.0,1992,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cacc
GLDI,Credit Suisse Gold Shares Covered Calls ETN,9.55,129169999.99999999,,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/gldi
SLVO,Credit Suisse Silver Shares Covered Call ETN,8.79,7470000.0,,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/slvo
CREE,"Cree, Inc.",24.5,2440000000.0,1993,Technology,Semiconductors,http://www.nasdaq.com/symbol/cree
CRESY,Cresud S.A.C.I.F. y A.,14.6,738000000.0,1997,Finance,Real Estate,http://www.nasdaq.com/symbol/cresy
CRSP,CRISPR Therapeutics AG,17.55,690780000.0,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/crsp
CRTO,Criteo S.A.,39.96,2550000000.0,2013,Technology,Advertising,http://www.nasdaq.com/symbol/crto
CROX,"Crocs, Inc.",8.45,621470000.0,2006,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/crox
CCRN,"Cross Country Healthcare, Inc.",14.98,494500000.0,2001,Technology,Professional Services,http://www.nasdaq.com/symbol/ccrn
XRDC,"Crossroads Capital, Inc.",1.6,15430000.0,2011,,,http://www.nasdaq.com/symbol/xrdc
CRDS,"Crossroads Systems, Inc.",4.2674,5230000.0,1999,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/crds
CRWS,"Crown Crafts, Inc.",9.85,98450000.0,,Basic Industries,Textiles,http://www.nasdaq.com/symbol/crws
CYRX,"CryoPort, Inc.",2.22,33570000.0,,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/cyrx
CSGS,"CSG Systems International, Inc.",41.42,1340000000.0,1996,Technology,EDP Services,http://www.nasdaq.com/symbol/csgs
CCLP,CSI Compressco LP,9.99,332290000.0,2011,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/cclp
CSPI,CSP Inc.,10.3687,39510000.0,1982,Technology,EDP Services,http://www.nasdaq.com/symbol/cspi
CSWI,"CSW Industrials, Inc.",34.275,537940000.0,,Basic Industries,Home Furnishings,http://www.nasdaq.com/symbol/cswi
CSX,CSX Corporation,34.78,32580000000.0,,Transportation,Railroads,http://www.nasdaq.com/symbol/csx
CTIC,CTI BioPharma Corp.,0.4049,114330000.0,1997,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctic
CTIB,CTI Industries Corporation,6.0582,20430000.0,1997,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/ctib
CTRP,"Ctrip.com International, Ltd.",40.62,18950000000.0,2003,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ctrp
CUNB,CU Bancorp (CA),26.9,475550000.0,,Finance,Major Banks,http://www.nasdaq.com/symbol/cunb
CUI,"CUI Global, Inc.",5.35,111900000.0,,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/cui
